,,200,2000,600
19/09:00:06,255.2,255.2173212,255.2884945,255.2648718
19/09:00:06,255.2,255.2171489,255.288406,255.2646559
19/09:00:06,255.2,255.2169782,255.2883177,255.2644408
19/09:00:06,255.25,255.2173068,255.2882794,255.2643927
19/09:00:06,255.25,255.2176321,255.2882411,255.2643448
19/09:00:06,255.25,255.2179542,255.2882029,255.2642971
19/09:00:06,255.25,255.2182731,255.2881647,255.2642495
19/09:00:06,255.25,255.2185887,255.2881266,255.2642021
19/09:00:06,255.2,255.2184038,255.2880385,255.2639884
19/09:00:07,255.35,255.2197132,255.2881004,255.2642746
19/09:00:07,255.3,255.2205121,255.2881123,255.2643935
19/09:00:07,255.3,255.221303,255.2881242,255.264512
19/09:00:07,255.3,255.2220861,255.2881361,255.2646301
19/09:00:07,255.3,255.2228613,255.2881479,255.2647478
19/09:00:07,255.3,255.2236289,255.2881598,255.2648651
19/09:00:07,255.3,255.2243888,255.2881716,255.2649821
19/09:00:07,255.3,255.2251411,255.2881834,255.2650986
19/09:00:07,255.3,255.225886,255.2881952,255.2652147
19/09:00:07,255.25,255.2261259,255.288157,255.2651641
19/09:00:07,255.25,255.2263635,255.2881189,255.2651136
19/09:00:07,255.2,255.2261012,255.2880308,255.264897
19/09:00:07,255.2,255.2258414,255.2879428,255.264681
19/09:00:07,255.2,255.2255843,255.287855,255.2644657
19/09:00:07,255.25,255.2258273,255.2878171,255.2644176
19/09:00:07,255.25,255.2260678,255.2877793,255.2643696
19/09:00:07,255.25,255.2263059,255.2877416,255.2643218
19/09:00:07,255.25,255.2265417,255.2877038,255.2642742
19/09:00:08,255.3,255.2272726,255.2877161,255.264393
19/09:00:08,255.25,255.2274988,255.2876784,255.2643451
19/09:00:08,255.3,255.2282202,255.2876907,255.2644638
19/09:00:08,255.3,255.2289344,255.287703,255.2645821
19/09:00:08,255.35,255.230139,255.2877653,255.2648663
19/09:00:08,255.3,255.2308342,255.2877775,255.2649832
19/09:00:08,255.3,255.2315224,255.2877898,255.2650997
19/09:00:08,255.35,255.2327013,255.2878519,255.2653823
19/09:00:08,255.35,255.2338684,255.2879141,255.2656639
19/09:00:08,255.3,255.2345264,255.2879261,255.2657781
19/09:00:08,255.3,255.2351779,255.2879382,255.265892
19/09:00:08,255.3,255.2358229,255.2879503,255.2660055
19/09:00:08,255.3,255.2364615,255.2879623,255.2661186
19/09:00:08,255.3,255.2370937,255.2879743,255.2662314
19/09:00:08,255.3,255.2377196,255.2879863,255.2663438
19/09:00:08,255.3,255.2383393,255.2879984,255.2664558
19/09:00:08,255.25,255.2384554,255.2879604,255.266401
19/09:00:08,255.3,255.2390678,255.2879724,255.2665128
19/09:00:08,255.3,255.239674,255.2879844,255.2666243
19/09:00:08,255.3,255.2402743,255.2879964,255.2667353
19/09:00:08,255.3,255.2408686,255.2880084,255.266846
19/09:00:09,255.3,255.241457,255.2880204,255.2669564
19/09:00:09,255.3,255.2420395,255.2880324,255.2670663
19/09:00:09,255.3,255.2426162,255.2880444,255.2671759
19/09:00:09,255.3,255.2431872,255.2880563,255.2672851
19/09:00:09,255.3,255.2437525,255.2880682,255.267394
19/09:00:09,255.3,255.2443122,255.2880802,255.2675025
19/09:00:09,255.3,255.2448663,255.2880921,255.2676107
19/09:00:09,255.3,255.2454149,255.288104,255.2677184
19/09:00:09,255.3,255.245958,255.2881159,255.2678259
19/09:00:09,255.35,255.2469932,255.2881777,255.2680993
19/09:00:09,255.35,255.2480182,255.2882395,255.2683719
19/09:00:09,255.35,255.2490329,255.2883013,255.2686435
19/09:00:09,255.3,255.2495401,255.2883129,255.2687479
19/09:00:09,255.3,255.2500422,255.2883246,255.2688519
19/09:00:09,255.3,255.2505392,255.2883363,255.2689555
19/09:00:10,255.35,255.2515289,255.2883979,255.2692252
19/09:00:10,255.35,255.2525087,255.2884595,255.269494
19/09:00:10,255.3,255.2529813,255.288471,255.2695955
19/09:00:10,255.35,255.2539466,255.2885325,255.2698631
19/09:00:10,255.35,255.2549024,255.288594,255.2701298
19/09:00:10,255.35,255.2558486,255.2886553,255.2703956
19/09:00:10,255.4,255.257283,255.2887666,255.2708269
19/09:00:10,255.35,255.2582055,255.2888278,255.2710903
19/09:00:10,255.35,255.2591189,255.288889,255.2713529
19/09:00:10,255.35,255.2600232,255.2889501,255.2716147
19/09:00:10,255.35,255.2609185,255.2890111,255.2718755
19/09:00:10,255.35,255.2618049,255.289072,255.2721355
19/09:00:10,255.35,255.2626824,255.2891329,255.2723946
19/09:00:10,255.35,255.2635513,255.2891938,255.2726529
19/09:00:10,255.35,255.2644115,255.2892545,255.2729103
19/09:00:10,255.35,255.2652631,255.2893153,255.2731668
19/09:00:10,255.4,255.2666037,255.2894259,255.2735889
19/09:00:10,255.35,255.2674336,255.2894864,255.2738431
19/09:00:10,255.35,255.2682551,255.2895469,255.2740966
19/09:00:11,255.3,255.268571,255.2895574,255.2741828
19/09:00:11,255.3,255.2688837,255.2895678,255.2742687
19/09:00:11,255.3,255.2691933,255.2895782,255.2743543
19/09:00:11,255.3,255.2694999,255.2895886,255.2744397
19/09:00:11,255.3,255.2698033,255.2895991,255.2745247
19/09:00:11,255.3,255.2701038,255.2896095,255.2746095
19/09:00:11,255.3,255.2704013,255.2896198,255.274694
19/09:00:11,255.3,255.2706958,255.2896302,255.2747782
19/09:00:11,255.3,255.2709874,255.2896406,255.2748621
