시간,시가,고가,저가,종가,200,400,600,800,1000,1200
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,274,274,274,274,0,0,0,0,0,0
27/09:00:10,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:10,274,274,274,274,0,0,0,0,0,0
27/09:00:11,273.85,273.85,273.85,273.85,273.99,0,0,0,0,0
27/09:00:11,273.85,273.85,273.85,273.85,273.99,0,0,0,0,0
27/09:00:11,273.85,273.85,273.85,273.85,273.99,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,273.99,0,0,0,0,0
27/09:00:11,273.85,273.85,273.85,273.85,273.99,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,273.99,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:11,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:11,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:11,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:11,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:11,273.95,273.95,273.95,273.95,0,0,0,0,0,0
27/09:00:11,273.9,273.9,273.9,273.9,0,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:12,273.85,273.85,273.85,273.85,273.97,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:12,273.85,273.85,273.85,273.85,273.97,0,0,0,0,0
27/09:00:12,273.85,273.85,273.85,273.85,273.97,0,0,0,0,0
27/09:00:12,273.85,273.85,273.85,273.85,273.97,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.97,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.98,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.98,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.98,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.98,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.98,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.98,0,0,0,0,0
27/09:00:12,273.85,273.85,273.85,273.85,273.98,0,0,0,0,0
27/09:00:12,273.85,273.85,273.85,273.85,273.98,0,0,0,0,0
27/09:00:12,273.85,273.85,273.85,273.85,273.98,0,0,0,0,0
27/09:00:12,273.85,273.85,273.85,273.85,273.99,0,0,0,0,0
27/09:00:12,273.8,273.8,273.8,273.8,273.99,0,0,0,0,0
27/09:00:12,273.85,273.85,273.85,273.85,273.99,0,0,0,0,0
27/09:00:13,273.7,273.7,273.7,273.7,273.94,0,0,0,0,0
27/09:00:13,273.75,273.75,273.75,273.75,273.94,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.94,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.94,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.94,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.95,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.95,0,0,0,0,0
27/09:00:13,273.8,273.8,273.8,273.8,273.95,0,0,0,0,0
